vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
MERCEDES-BENZ,GLE 450 4MATIC,FAMILIAR,4x4,MERCEDES-BENZ 256.930 / MELCO EM0014,2999,270,AUTOMATICA,ELECTRICIDAD,EURO VI,683,26/06/2020,42.04.1462.01,TÜV NORD,206,117,75,9,9
AUDI,RS4 - RS4 AVANT / RS5 - RS5 SPORTBACK,RURAL 4 PUERTAS CON PORTÓN TRASERO / SEDAN 2 PUERTAS CON PORTÓN TRASERO,4x4,AUDI DECA,2894,,MANUAL,NAFTA,304,,26/04/2019,AUA5390C,ATE-EL LUXEMBOURG,202,117,73,89,89
MERCEDES-BENZ,S500 4MATIC,SEDAN 4 PUERTAS,4x4,MERCEDES-BENZ 256.930 / MELCO EM0014,2999,320,AUTOMATICA,ELECTRICIDAD,EURO VI b,822,12/2/2021,42.04.1493.00,TÜV NORD,196,117,68,86,86
ALFA ROMEO,STELVIO QUADRIFOGLIO VERDI,BERLINA 4 PUERTAS Y PORTÓN TRASERO,4x4,ALFA ROMEO 670051007,2891,,MANUAL,NAFTA,EURO VI,,5/4/2018,H0721/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,21021,1176,756,909,909
TOYOTA,CAMRY,SEDAN 4 PUERTAS,4x2,TOYOTA 2AR-FE,2494,,MANUAL,NAFTA,EURO V,,1/9/2017,H1760161643/410 TR,VINÇOTTE nv,200,1177,68,86,86
KIA,SPORTAGE,RURAL,4x2,HYUNDAI o KIA G4NA-5 o G4NA,1999,114,MANUAL,NAFTA,EURO V,,28/04/2016,83-V039-133042998-105,TÜV Rheinland,120,118,65,84,84
MERCEDES-BENZ,MERCEDES-AMG GLE 53 4MATIC+ (167.161),FAMILIAR 4 PUERTAS,4x4,MERCEDES BENZ 256.930 / MELCO EM0014,2999,320,AUTOMATICA,ELECTRICIDAD,EURO VI,691,23/07/2020,42.04.1462.01,TÜV NORD,214,118,8,94,94
FORD,MAVERIK,PICK UP CABINA DOBLE,4x2, 4x4,3000,1999,AUTOMATICA,NAFTA,EURO V,,913,,7250123,164,118,45,72,
FORD,ECOSPORT,SUV,4x2,FORD 2.0L GDI,1999,125,MANUAL,NAFTA,EURO V,,25/04/2018,TR83-USS379499,VCA,20429,1183,705,880,880
FORD,KUGA,SUV 5 PUERTAS,4x4,FORD 2.0L GTDI,1999,,AUTOMATICA,NAFTA,EURO V,,14/12/2018,ESQ310992,VCA,21011,1201,725,90,90
CHEVROLET,TRACKER 1.8 TRANSMISIÓN AUTOMATICA,SEDAN 4 PUERTAS Y PORTÓN TRASERO,4x4,CHEVROLET 2H0 o A18XER o F18D4 (1.8 DOHC),1796,103,AUTOMATICA,NAFTA,EURO V,526,12/11/2019,KR18060020,IDIADA,2049,1206,691,880,880
CHEVROLET,TRACKER 1.8,5 PUERTAS HB,4x4,CHEVROLET 2H0,5000,1796,AUTOMATICA,NAFTA,EURO V,,,9/2/2018,KR18060020,300,1206,691,880,
CHEVROLET,S10 2.8,PICK UP,4x2, 4x4,2000,2776,AUTOMATICA,GAS OIL,EURO V,,859,,US21060002,256,121,83,97,
BORGWARD,BX7,SEDAN,4x2,BORGWARD BWE420B,1981,,MANUAL,NAFTA,EURO V,,25/07/2018,CN16060398,IDIADA,221,121,761,93,93
MERCEDES-BENZ,Mercedes-AMG A 45 4MATIC - Mercedes-AMG A 45 S 4MATIC,FAMILIAR,4x4,MERCEDES-BENZ 139.980,1991,285 - 310,AUTOMATICA,NAFTA,EURO VI,601,18/02/2020,42.04.1468.00,TÜV NORD,205,121,74,9,9
MERCEDES-BENZ,C 400 4MATIC,CABRIOLET 2 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,MANUAL,NAFTA,EURO VI b,,3/4/2019,42.04.1419.02,TÜV NORD Mobil,198,121,68,88,88
HONDA,ACCORD,SEDAN 4 PUERTAS,4x2,HONDA K20C4,1996,,MANUAL,NAFTA,EURO V,,13/04/2018,H1760552835/098,VINÇOTTE nv,192,121,61,83,83
VOLVO,XC40 T4,SUV 4/5 PUERTAS,4x2,VOLVO B4204T47,1969,,MANUAL,NAFTA,EURO VI d,,19/06/2018,TR*715/2007*2017/1347*0169*00,AVL MTC AB,189,121,69,84,84
BORGWARD,BX5,SEDAN,4x4,BORGWARD BWE418A,1797,,MANUAL,NAFTA,EURO V,,25/07/2018,CN17030295,IDIADA,2116,1215,705,892,892
HYUNDAI,H350,CAMIÓN,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,,24/06/2015,KR14080042,IDIADA,250,122,86,99,99
HYUNDAI,H350,CAMIÓN,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,,24/06/2015,KR14080044,IDIADA,250,122,86,99,99
DOMY,X7,SEDAN,4x2,DOMY TN4G18T,1799,,MANUAL,NAFTA,EURO V,,17/08/2018,CN17080445,IDIADA,219,122,78,94,94
DOMY,X7,SEDAN,4x2,MITSUBISHI 4G63S4T,1997,,MANUAL,NAFTA,EURO V,,17/08/2018,CN17080446,IDIADA,216,123,76,93,93
CHEVROLET,S10 2.8,PICK UP,4x2,4x2 - 4x4,5000,2776,AUTOMATICA,GAS OIL,EURO V,,,18/01/2018,CPLE 031/2018,25093,1235,792,953,
HYUNDAI,H-100,CHASIS LARGO / CHASIS EXTRA LARGO,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,,24/01/2018,KR12050004,IDIADA,250,124,82,97,97
VOLVO,XC40 T5,SUV 4/5 PUERTAS,4x4,VOLVO B4204T14,1969,,MANUAL,NAFTA,EURO VI d,,27/04/2018,TR*715/2007*2017/1347*0154*00,AVL MTC AB,205,124,77,91,91
MERCEDES-BENZ,E 450 4MATIC,SEDAN 4 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,MANUAL,NAFTA,EURO VI b,,8/4/2019,42.04.1419.02,TÜV NORD Mobil,204,124,71,90,90
ALFA ROMEO,GIULIA QUADRIFOGLIO,BERLINA,4x2,ALFA ROMEO 670050436,2891,,MANUAL,NAFTA,EURO VI b,,19/07/2017,G0415/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,18798,1242,572,815,815
MERCEDES-BENZ,E 450 4MATIC,COUPE2 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,AUTOMATICA,NAFTA,EURO VI,,8/3/2019,42.04.1419.02,TÜV NORD Mobil,208,125,73,91,91
FORD,S-MAX,SEDAN 5 PUERTAS,4x2,FORD 2.0L GTDI,1999,,MANUAL,NAFTA,EURO VI,,11/8/2015,T02 USQ305855-3,VCA,330,125,69,89,
CHEVROLET,TRAILBLAZER 2.8 TRANSMISIÓN AUTOMATICA,SUV,4x4,CHEVROLET LWN (XLDE) - DURAMAX / CTDI 2.8L,2776,,MANUAL,GAS OIL,EURO V,,6/12/2018,CPLE 032/2018,GENERAL MOTORS DO BRASIL LTDA.,25719,1260,816,978,978
MERCEDES-BENZ,GLS 580 4MATIC,FAMILIAR 4 PUERTAS,4x4,MERCEDES-BENZ 176.980/ MELCO EM0014,3982,360,AUTOMATICA,ELECTRICIDAD,EURO VI,635,17/03/2020,42.04.1465.00,TÜV NORD,233,127,88,102,102
LAND ROVER,RANGE ROVER EVOQUE,SUV 4/5 PUERTAS,4x4,JAGUAR LAND ROVER PT204 / VALEO K8D2-11A240-A*,1997,221,AUTOMATICA,ELECTRICIDAD,390,,10/6/2019,PC18090054,IDIADA,19199,1271,791,931,931
KIA,K2500,CABINA STANDARD / CABINA KING O SUPER / DOBLE CABINA,4x2,HYUNDAI O KIA,2497,96,MANUAL,GAS OIL,EURO V,,3/9/2013,3-V002-133029008-01 ,TÜV Rheinland,2643,128,84,100,100
NISSAN,MURANO,RURAL,4x4,NISSAN VQ35,3498,188,MANUAL,NAFTA,EURO V,,6/5/2019,LCA 0061 A64 18,LUXCONTROL S.A.,2257,128,79,97,97
JEEP,CHEROKEE LIMITED. CHEROKEE SPORT. CHEROKEE LONGITUDE,BERLINA,4x2,FCA X,3239,,AUTOMATICA,NAFTA,EURO VI a,,18/12/2018,RDW-715/2007-0045713,RDW,215,128,71,92,92
HYUNDAI,VELOSTER,SEDAN 3 PUERTAS CON PORTÓN,4x2,HYUNDAI G4KH,1998,,AUTOMATICA,NAFTA,EURO V,,21/09/2018,83-V039-55199-23,TÜV Rheinland,21575,1291,704,921,921
ALFA ROMEO,GIULIA,BERLINA,4x2,ALFA ROMEO 55273835,1995,,MANUAL,NAFTA,EURO VI,,9/8/2017,F0621/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,1997,1294,612,865,865
