Ticket ID;Open Time @Timezone;Resolved Time @Timezone
IM70110586;24/06/2019 08:26;
IM70116464;24/06/2019 11:37;
IM70116464;24/06/2019 11:37;
IM70116464;24/06/2019 11:37;
IM70145358;25/06/2019 17:19;
IM70145358;25/06/2019 17:19;
IM70145358;25/06/2019 17:19;
IM70145358;25/06/2019 17:19;
IM70145358;25/06/2019 17:19;
IM70192324;27/06/2019 17:51;
IM70192324;27/06/2019 17:51;
IM70192324;27/06/2019 17:51;
IM70192324;27/06/2019 17:51;
IM70192324;27/06/2019 17:51;
IM70192324;27/06/2019 17:51;
IM70192324;27/06/2019 17:51;
IM70192324;27/06/2019 17:51;
IM70192324;27/06/2019 17:51;
IM70205500;28/06/2019 07:16;07/10/2019 11:06
IM70205500;28/06/2019 07:16;07/10/2019 11:06
IM70211462;28/06/2019 11:34;
IM70211462;28/06/2019 11:34;
IM70211462;28/06/2019 11:34;
IM70211462;28/06/2019 11:34;
IM70211462;28/06/2019 11:34;
IM70211462;28/06/2019 11:34;
IM70212419;28/06/2019 12:23;
IM70212419;28/06/2019 12:23;
IM70212419;28/06/2019 12:23;
IM70214916;28/06/2019 17:45;
IM70214916;28/06/2019 17:45;
IM70214916;28/06/2019 17:45;
IM70214916;28/06/2019 17:45;
IM70243355;01/07/2019 08:34;
IM70243355;01/07/2019 08:34;
IM70251116;01/07/2019 13:44;
IM70251116;01/07/2019 13:44;
IM70251116;01/07/2019 13:44;
IM70253586;01/07/2019 19:25;
IM70253586;01/07/2019 19:25;
IM70253586;01/07/2019 19:25;
IM70253586;01/07/2019 19:25;
IM70298688;03/07/2019 10:58;
IM70298688;03/07/2019 10:58;
IM70298688;03/07/2019 10:58;
IM70298688;03/07/2019 10:58;
IM70298688;03/07/2019 10:58;
IM70298688;03/07/2019 10:58;
IM70298688;03/07/2019 10:58;
IM70298688;03/07/2019 10:58;
IM70298688;03/07/2019 10:58;
IM70301170;03/07/2019 13:21;
IM70301170;03/07/2019 13:21;
IM70301170;03/07/2019 13:21;
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70317851;04/07/2019 08:07;30/09/2019 08:50
IM70349258;05/07/2019 18:34;23/09/2019 21:48
IM70349258;05/07/2019 18:34;23/09/2019 21:48
IM70349258;05/07/2019 18:34;23/09/2019 21:48
IM70349258;05/07/2019 18:34;23/09/2019 21:48
IM70349258;05/07/2019 18:34;23/09/2019 21:48
IM70349260;05/07/2019 18:37;23/09/2019 21:50
IM70349260;05/07/2019 18:37;23/09/2019 21:50
IM70349260;05/07/2019 18:37;23/09/2019 21:50
IM70349260;05/07/2019 18:37;23/09/2019 21:50
IM70349260;05/07/2019 18:37;23/09/2019 21:50
IM70349263;05/07/2019 18:38;30/09/2019 08:55
IM70349263;05/07/2019 18:38;30/09/2019 08:55
IM70349263;05/07/2019 18:38;30/09/2019 08:55
IM70349263;05/07/2019 18:38;30/09/2019 08:55
IM70349263;05/07/2019 18:38;30/09/2019 08:55
IM70349265;05/07/2019 18:39;23/09/2019 21:52
IM70349265;05/07/2019 18:39;23/09/2019 21:52
IM70349265;05/07/2019 18:39;23/09/2019 21:52
IM70349265;05/07/2019 18:39;23/09/2019 21:52
IM70349265;05/07/2019 18:39;23/09/2019 21:52
IM70349265;05/07/2019 18:39;23/09/2019 21:52
IM70349268;05/07/2019 18:40;23/09/2019 21:55
IM70349268;05/07/2019 18:40;23/09/2019 21:55
IM70349268;05/07/2019 18:40;23/09/2019 21:55
IM70349268;05/07/2019 18:40;23/09/2019 21:55
IM70349268;05/07/2019 18:40;23/09/2019 21:55
IM70349269;05/07/2019 18:41;23/09/2019 21:58
IM70349269;05/07/2019 18:41;23/09/2019 21:58
IM70349269;05/07/2019 18:41;23/09/2019 21:58
IM70349269;05/07/2019 18:41;23/09/2019 21:58
IM70349269;05/07/2019 18:41;23/09/2019 21:58
IM70349270;05/07/2019 18:43;23/09/2019 22:00
IM70349270;05/07/2019 18:43;23/09/2019 22:00
IM70349270;05/07/2019 18:43;23/09/2019 22:00
IM70349270;05/07/2019 18:43;23/09/2019 22:00
IM70349270;05/07/2019 18:43;23/09/2019 22:00
IM70379622;08/07/2019 10:54;
IM70379622;08/07/2019 10:54;
IM70379622;08/07/2019 10:54;
IM70384179;08/07/2019 18:18;
IM70384179;08/07/2019 18:18;
IM70384179;08/07/2019 18:18;
IM70384179;08/07/2019 18:18;
IM70384179;08/07/2019 18:18;
IM70450434;11/07/2019 11:22;
IM70450434;11/07/2019 11:22;
IM70450434;11/07/2019 11:22;
IM70471973;12/07/2019 12:42;
IM70471973;12/07/2019 12:42;
IM70471973;12/07/2019 12:42;
IM70471973;12/07/2019 12:42;
IM70471973;12/07/2019 12:42;
IM70471973;12/07/2019 12:42;
IM70471973;12/07/2019 12:42;
IM70503375;15/07/2019 10:37;23/09/2019 08:45
IM70503375;15/07/2019 10:37;23/09/2019 08:45
IM70503375;15/07/2019 10:37;23/09/2019 08:45
IM70505136;15/07/2019 12:14;07/10/2019 08:57
IM70505136;15/07/2019 12:14;07/10/2019 08:57
IM70505136;15/07/2019 12:14;07/10/2019 08:57
IM70505136;15/07/2019 12:14;07/10/2019 08:57
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70521230;16/07/2019 07:52;
IM70548259;17/07/2019 11:40;
IM70548259;17/07/2019 11:40;
IM70552052;17/07/2019 17:03;
IM70552052;17/07/2019 17:03;
IM70552052;17/07/2019 17:03;
IM70552052;17/07/2019 17:03;
IM70571157;18/07/2019 14:50;
IM70571157;18/07/2019 14:50;
IM70571157;18/07/2019 14:50;
IM70571157;18/07/2019 14:50;
IM70571157;18/07/2019 14:50;
IM70571157;18/07/2019 14:50;
IM70571163;18/07/2019 15:14;
IM70571163;18/07/2019 15:14;
IM70571163;18/07/2019 15:14;
IM70571163;18/07/2019 15:14;
IM70571163;18/07/2019 15:14;
IM70571163;18/07/2019 15:14;
IM70571163;18/07/2019 15:14;
IM70571862;18/07/2019 17:17;
IM70571862;18/07/2019 17:17;
IM70571866;18/07/2019 17:29;
IM70571866;18/07/2019 17:29;
IM70571866;18/07/2019 17:29;
IM70571866;18/07/2019 17:29;
IM70571866;18/07/2019 17:29;
IM70571866;18/07/2019 17:29;
IM70571866;18/07/2019 17:29;
IM70571866;18/07/2019 17:29;
IM70571866;18/07/2019 17:29;
IM70571866;18/07/2019 17:29;
IM70571867;18/07/2019 17:32;
IM70571867;18/07/2019 17:32;
IM70571867;18/07/2019 17:32;
IM70571867;18/07/2019 17:32;
IM70571867;18/07/2019 17:32;
IM70571867;18/07/2019 17:32;
IM70571953;18/07/2019 16:29;
IM70571953;18/07/2019 16:29;
IM70571953;18/07/2019 16:29;
IM70571987;18/07/2019 18:36;
IM70571987;18/07/2019 18:36;
IM70571987;18/07/2019 18:36;
IM70571987;18/07/2019 18:36;
IM70571987;18/07/2019 18:36;
IM70586476;19/07/2019 10:34;
IM70586476;19/07/2019 10:34;
IM70586476;19/07/2019 10:34;
IM70589183;19/07/2019 14:48;
IM70589183;19/07/2019 14:48;
IM70641772;23/07/2019 13:25;
IM70641772;23/07/2019 13:25;
IM70641772;23/07/2019 13:25;
IM70641772;23/07/2019 13:25;
IM70641772;23/07/2019 13:25;
IM70641772;23/07/2019 13:25;
IM70641772;23/07/2019 13:25;
IM70641772;23/07/2019 13:25;
IM70641772;23/07/2019 13:25;
IM70642580;23/07/2019 16:16;
IM70642580;23/07/2019 16:16;
IM70642580;23/07/2019 16:16;
IM70642580;23/07/2019 16:16;
IM70642580;23/07/2019 16:16;
IM70643853;23/07/2019 17:19;
IM70643853;23/07/2019 17:19;
IM70643853;23/07/2019 17:19;
IM70643859;23/07/2019 17:40;
IM70643859;23/07/2019 17:40;
IM70643859;23/07/2019 17:40;
IM70659685;24/07/2019 12:02;07/10/2019 09:00
IM70659685;24/07/2019 12:02;07/10/2019 09:00
IM70659685;24/07/2019 12:02;07/10/2019 09:00
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70660738;24/07/2019 13:47;30/09/2019 08:47
IM70679617;25/07/2019 13:06;
IM70679617;25/07/2019 13:06;
IM70695000;26/07/2019 11:05;
IM70695000;26/07/2019 11:05;
IM70695000;26/07/2019 11:05;
IM70695000;26/07/2019 11:05;
IM70695000;26/07/2019 11:05;
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70695862;26/07/2019 12:29;01/10/2019 12:29
IM70696442;26/07/2019 13:13;
IM70696442;26/07/2019 13:13;
IM70696442;26/07/2019 13:13;
IM70696485;26/07/2019 14:29;
IM70696485;26/07/2019 14:29;
IM70696485;26/07/2019 14:29;
IM70697335;26/07/2019 18:27;01/10/2019 14:49
IM70697335;26/07/2019 18:27;01/10/2019 14:49
IM70697335;26/07/2019 18:27;01/10/2019 14:49
IM70697335;26/07/2019 18:27;01/10/2019 14:49
IM70697335;26/07/2019 18:27;01/10/2019 14:49
IM70697335;26/07/2019 18:27;01/10/2019 14:49
IM70697335;26/07/2019 18:27;01/10/2019 14:49
IM70697335;26/07/2019 18:27;01/10/2019 14:49
IM70697335;26/07/2019 18:27;01/10/2019 14:49
IM70724078;29/07/2019 10:18;
IM70724078;29/07/2019 10:18;
IM70726101;29/07/2019 11:05;
IM70726101;29/07/2019 11:05;
IM70726101;29/07/2019 11:05;
IM70726101;29/07/2019 11:05;
IM70726101;29/07/2019 11:05;
IM70762038;31/07/2019 08:56;07/10/2019 11:11
IM70762038;31/07/2019 08:56;07/10/2019 11:11
IM70762070;31/07/2019 08:46;
IM70762070;31/07/2019 08:46;
IM70762070;31/07/2019 08:46;
IM70762070;31/07/2019 08:46;
IM70785710;01/08/2019 11:59;
IM70785710;01/08/2019 11:59;
IM70785710;01/08/2019 11:59;
IM70785710;01/08/2019 11:59;
IM70785710;01/08/2019 11:59;
IM70785710;01/08/2019 11:59;
IM70785710;01/08/2019 11:59;
IM70785710;01/08/2019 11:59;
IM70787265;01/08/2019 14:21;
IM70787265;01/08/2019 14:21;
IM70787966;01/08/2019 14:46;
IM70787966;01/08/2019 14:46;
