vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
JEEP,CHEROKEE TRAILHAWK,BERLINA,4x4,FCA X,3239,,AUTOMATICA,NAFTA,EURO VI a,,18/12/2018,RDW-715/2007-0045713,RDW,236,13.3,8.3,10.1,10.1
MERCEDES-BENZ,MERCEDES-AMG C 43 4 MATIC,SEDÁN - COUPÉ,4x4,MERCEDES-BENZ 276.823,2996,,AUTOMATICA,NAFTA,EURO VI b,,29/01/2019,42.04.1419.00,TÜV NORD Mobilität,217,13.3,7.3,9.5,9.5
LEXUS,GS350,SEDÁN 4 PUERTAS,4x2,TOYOTA 2GR-FKS,3456,,MANUAL,NAFTA,EURO V,,11/4/2018,H1560161643/259,AIV-VINÇOTTE International n.v.,290,13.4,7.4,9.6,9.6
FORD,F150 RAPTOR,PICK UP CABINA DOBLE,4x4,FORD 3.5L TIVCT Raptor,3497,335.5,AUTOMATICA,NAFTA,TIER 3 BIN 50,887,5/7/2021,T101-USW515555-3.5L Raptor,VCA,290,13.4,18.6,15,13.4
TOYOTA,INNOVA,FAMILIAR,4x2,TOYOTA 2TR-FE,2694,,MANUAL,NAFTA,EURO V,,1/9/2017,JSQ320070,VCA,241,13.4,8.6,10.4,10.4
JAC,S7,HATCHBACK,4x2,JAC HFC4GA3.4D,1997,130,MANUAL,NAFTA,EURO V,,13/05/2019,61JAA0156A,ATE-EL LUXEMBOURG,228,13.4,7.7,9.8,9.8
PORSCHE,911 CARRERA S (CB12),COUPÉ 2 PUERTAS,4x2,PORSCHE DKK,2981,331,MANUAL,NAFTA,439,,9/8/2019,42.07.253.00,TÜV NORD Mobilität,208,13.4,7.2,9.5,9.5
KIA,SORENTO,RURAL,4x2,HYUNDAI O KIA G4KE-5 o G4KE,2359,126,AUTOMATICA,NAFTA,EURO V,,22/03/2015,KR17050187,IDIADA,290,13.5,7.1,9.5,9.5
PORSCHE,911 CARRERA S (CB22) / 911 CARRERA 4S (KB12. KB22),CONVERTIBLE 2 PUERTAS / COUPÉ 2 PUERTAS - CONVERTIBLE 2 PUERTAS,4x4,PORSCHE DKK,2981,331,MANUAL,NAFTA,439,,9/8/2019,42.07.253.00,TÜV NORD Mobilität,213.4,13.5,7.3 ,9.6 ,9.6
HAVAL,H9,RURAL,4x4,GREAT WALL GW4C20A,1967,,AUTOMATICA,NAFTA,EURO V,,18/12/2018,88-R101-818/17-00,TÜV Rheinland,260,13.5,9.6,11.1,11.1
